Id,MSSubClass,MSZoning,LotShape,LandContour,LotConfig,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,PoolArea,SaleType,SaleCondition,GarageAge,HouseAge,RemodelAge,TotalBathrooms,TotalRooms,TotalSF,GarageAreaCars,OverallQualCond,BsmtQualCond,TotalFloorsSF,HasPool,HasGarage,HasBasement,HasFireplace,HasWoodDeck,HasOpenPorch,HasEnclosedPorch,HasScreenPorch,QualToAgeRatio
11,20,RL,Reg,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,5,5,43,43,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,1040,GasA,Ex,Y,SBrkr,1040,1040,1,1,0,3,1,TA,5,Typ,0,Gd,Detchd,43,Unf,1,384,TA,TA,Y,0,WD,Normal,43,1965,1965,2.0,1045,2080,384,25,TA_TA,1040,0,1,1,0,0,0,0,0,0.00254323499491353
12,60,RL,IR1,Lvl,Inside,NridgHt,Norm,Norm,1Fam,2Story,9,5,1,0,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,1175,GasA,Ex,Y,SBrkr,1182,2324,1,3,0,4,1,Ex,11,Typ,2,Gd,BuiltIn,1,Fin,3,736,TA,TA,Y,0,New,Partial,1,2005,2006,4.0,1186,3499,2208,45,Ex_TA,2324,0,1,1,1,1,1,0,0,0.00448654037886341
13,20,RL,IR2,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,5,6,46,46,Hip,CompShg,HdBoard,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,912,GasA,TA,Y,SBrkr,912,912,1,1,0,2,1,TA,4,Typ,0,Gd,Detchd,46,Unf,1,352,TA,TA,Y,0,WD,Normal,46,1962,1962,2.0,916,1824,352,30,TA_TA,912,0,1,1,0,1,0,0,1,0.0025471217524197657
14,20,RL,IR1,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,7,5,1,0,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,Unf,1494,GasA,Ex,Y,SBrkr,1494,1494,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,1,RFn,3,840,TA,TA,Y,0,New,Partial,1,2006,2007,2.0,1501,2988,2520,35,Gd_TA,1494,0,1,1,1,1,1,0,0,0.003487792725460887
15,20,RL,IR1,Lvl,Corner,NAmes,Norm,Norm,1Fam,1Story,6,5,48,48,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,1253,GasA,TA,Y,SBrkr,1253,1253,1,1,1,2,1,TA,5,Typ,1,Fa,Attchd,48,RFn,1,352,TA,TA,Y,0,WD,Normal,48,1960,1960,2.5,1258,2506,352,30,TA_TA,1253,0,1,1,1,0,1,1,0,0.0030596634370219276
16,45,RM,Reg,Lvl,Corner,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,78,6,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,832,GasA,Ex,Y,FuseA,854,854,0,1,0,2,1,TA,5,Typ,0,Gd,Detchd,16,Unf,2,576,TA,TA,Y,0,WD,Normal,16,1929,2001,1.0,837,1686,1152,56,TA_TA,854,0,1,1,0,1,1,0,0,0.003626943005181347
17,20,RL,IR1,Lvl,CulDSac,NAmes,Norm,Norm,1Fam,1Story,6,7,40,40,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,1004,GasA,Ex,Y,SBrkr,1004,1004,1,1,0,2,1,TA,5,Typ,1,TA,Attchd,40,Fin,2,480,TA,TA,Y,0,WD,Normal,40,1970,1970,2.0,1009,2008,960,42,TA_TA,1004,0,1,1,1,0,0,0,0,0.0030441400304414
18,90,RL,Reg,Lvl,Inside,Sawyer,Norm,Norm,Duplex,1Story,4,5,39,39,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,Slab,TA,TA,No,Unf,Unf,0,GasA,TA,Y,SBrkr,1296,1296,0,2,0,2,2,TA,6,Typ,0,Gd,CarPort,39,Unf,2,516,TA,TA,Y,0,WD,Normal,39,1967,1967,2.0,6,1296,1032,20,TA_TA,1296,0,1,0,0,0,0,0,0,0.0020325203252032522
19,20,RL,Reg,Lvl,Inside,SawyerW,RRAe,Norm,1Fam,1Story,5,5,4,4,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,GLQ,Unf,1114,GasA,Ex,Y,SBrkr,1114,1114,1,1,1,3,1,Gd,6,Typ,0,Gd,Detchd,4,Unf,2,576,TA,TA,Y,0,WD,Normal,4,2004,2004,2.5,1120,2228,1152,25,TA_TA,1114,0,1,1,0,0,1,0,0,0.0024937655860349127
20,20,RL,Reg,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5,6,51,44,Hip,CompShg,BrkFace,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,Unf,1029,GasA,TA,Y,SBrkr,1339,1339,0,1,0,3,1,TA,6,Min1,0,Gd,Attchd,51,Unf,1,294,TA,TA,Y,0,COD,Abnorml,51,1958,1965,1.0,1035,2368,294,30,TA_TA,1339,0,1,1,0,0,0,0,0,0.002552322613578356
21,60,RL,IR1,Lvl,Corner,NridgHt,Norm,Norm,1Fam,2Story,8,5,1,0,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,1158,GasA,Ex,Y,SBrkr,1158,2376,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,1,RFn,3,853,TA,TA,Y,0,New,Partial,1,2005,2006,3.5,1167,3534,2559,40,Ex_TA,2376,0,1,1,1,1,1,0,0,0.003988035892323031
22,45,RM,Reg,Bnk,Inside,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,77,57,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,Unf,637,GasA,Ex,Y,FuseF,1108,1108,0,1,0,3,1,Gd,6,Typ,1,Gd,Attchd,77,Unf,1,280,TA,TA,N,0,WD,Normal,77,1930,1950,1.0,643,1745,280,49,TA_TA,1108,0,1,1,1,0,0,1,0,0.0036250647332988087
23,20,RL,Reg,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,8,5,6,6,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,1777,GasA,Ex,Y,SBrkr,1795,1795,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,6,RFn,2,534,TA,TA,Y,0,WD,Normal,6,2002,2002,2.0,1784,3572,1068,40,Gd_TA,1795,0,1,1,1,1,1,0,0,0.00399400898652022
24,120,RM,Reg,Lvl,Inside,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,31,31,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,Unf,1040,GasA,TA,Y,SBrkr,1060,1060,1,1,0,3,1,TA,6,Typ,1,TA,Attchd,31,Unf,2,572,TA,TA,Y,0,WD,Normal,31,1976,1976,2.0,1046,2100,1144,35,Gd_TA,1060,0,1,1,1,1,1,0,0,0.0025290844714213456
25,20,RL,IR1,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,5,8,42,9,Gable,CompShg,Plywood,Plywood,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,ALQ,1060,GasA,Ex,Y,SBrkr,1060,1060,1,1,0,3,1,Gd,6,Typ,1,TA,Attchd,42,Unf,1,270,TA,TA,Y,0,WD,Normal,42,1968,2001,2.0,1066,2120,270,40,TA_TA,1060,0,1,1,1,1,1,0,0,0.0025393600812595226
26,20,RL,Reg,Lvl,Corner,NridgHt,Norm,Norm,1Fam,1Story,8,5,2,2,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,1566,GasA,Ex,Y,SBrkr,1600,1600,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2,RFn,3,890,TA,TA,Y,0,WD,Normal,2,2007,2007,2.0,1573,3166,2670,40,Gd_TA,1600,0,1,1,1,0,1,0,0,0.00398406374501992
27,20,RL,Reg,Lvl,Corner,NAmes,Norm,Norm,1Fam,1Story,5,7,59,10,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,Rec,900,GasA,TA,Y,SBrkr,900,900,0,1,0,3,1,Gd,5,Typ,0,Gd,Detchd,5,Unf,2,576,TA,TA,Y,0,WD,Normal,5,1951,2000,1.5,905,1800,1152,35,TA_TA,900,0,1,1,0,1,1,0,0,0.0025614754098360654
28,20,RL,Reg,Lvl,Inside,NridgHt,Norm,Norm,1Fam,1Story,8,5,3,2,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,1704,GasA,Ex,Y,SBrkr,1704,1704,1,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2,RFn,3,772,TA,TA,Y,0,WD,Normal,2,2007,2008,3.0,1711,3408,2316,40,Ex_TA,1704,0,1,1,1,0,1,0,0,0.00398406374501992
29,20,RL,IR1,Lvl,CulDSac,NAmes,Norm,Norm,1Fam,1Story,5,6,49,9,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,Unf,1484,GasA,TA,Y,SBrkr,1600,1600,1,1,0,2,1,TA,6,Typ,2,Gd,Attchd,49,RFn,1,319,TA,TA,Y,0,WD,Normal,49,1957,1997,2.0,1490,3084,319,30,TA_TA,1600,0,1,1,1,1,1,0,0,0.002553626149131767
30,30,RM,IR1,Lvl,Inside,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,81,58,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,520,GasA,Fa,N,SBrkr,520,520,0,1,0,1,1,Fa,4,Typ,0,Gd,Detchd,88,Unf,1,240,Fa,TA,Y,0,WD,Normal,88,1927,1950,1.0,524,1040,240,24,TA_TA,520,0,1,1,0,1,0,1,0,0.002074688796680498
31,70,C (all),Reg,Lvl,Inside,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,88,58,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,Unf,649,GasA,TA,N,SBrkr,649,1317,0,1,0,3,1,TA,6,Typ,0,Gd,Detchd,88,Unf,1,250,TA,Fa,N,0,WD,Normal,88,1920,1950,1.0,655,1966,250,16,TA_TA,1317,0,1,1,0,0,1,1,0,0.002082248828735034
32,20,RL,IR1,Lvl,CulDSac,Sawyer,Norm,Norm,1Fam,1Story,5,6,42,2,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,Unf,1228,GasA,Gd,Y,SBrkr,1228,1228,0,1,1,3,1,Gd,6,Typ,0,Gd,Attchd,42,Unf,1,271,TA,TA,Y,0,WD,Normal,42,1966,2006,1.5,1234,2456,271,30,TA_TA,1228,0,1,1,0,0,1,0,0,0.002541942043721403
33,20,RL,Reg,Lvl,Corner,CollgCr,Norm,Norm,1Fam,1Story,8,5,1,1,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,1234,GasA,Ex,Y,SBrkr,1234,1234,0,2,0,3,1,Gd,7,Typ,0,Gd,Attchd,1,RFn,2,484,TA,TA,Y,0,WD,Normal,1,2007,2007,2.0,1241,2468,968,40,Ex_TA,1234,0,1,1,0,0,1,0,0,0.00398406374501992
34,20,RL,IR1,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5,5,51,51,Hip,CompShg,BrkFace,BrkFace,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,1398,GasA,Gd,Y,SBrkr,1700,1700,0,1,1,4,1,Gd,6,Typ,1,Gd,Attchd,51,RFn,2,447,TA,TA,Y,0,WD,Normal,51,1959,1959,2.0,1404,3098,894,25,TA_TA,1700,0,1,1,1,0,1,0,0,0.002551020408163265
35,120,RL,Reg,Lvl,Inside,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2,2,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,1561,GasA,Ex,Y,SBrkr,1561,1561,1,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,2,Fin,2,556,TA,TA,Y,0,WD,Normal,2,2005,2005,3.0,1567,3122,1112,45,Ex_TA,1561,0,1,1,1,1,1,0,0,0.00448654037886341
36,60,RL,Reg,Lvl,Inside,NridgHt,Norm,Norm,1Fam,2Story,8,5,2,1,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,1117,GasA,Ex,Y,SBrkr,1132,2452,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2,Fin,3,691,TA,TA,Y,0,WD,Normal,2,2004,2005,3.5,1126,3569,2073,40,Ex_TA,2452,0,1,1,1,1,1,0,0,0.00399002493765586
37,20,RL,Reg,Lvl,Corner,CollgCr,Norm,Norm,1Fam,1Story,5,5,15,14,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,Unf,1097,GasA,Ex,Y,SBrkr,1097,1097,0,1,1,3,1,TA,6,Typ,0,Gd,Attchd,14,Unf,2,672,TA,TA,Y,0,WD,Normal,14,1994,1995,1.5,1103,2194,1344,25,Gd_TA,1097,0,1,1,0,1,1,0,0,0.002506265664160401
38,20,RL,Reg,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5,6,55,19,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,1297,GasA,Gd,Y,SBrkr,1297,1297,0,1,0,3,1,TA,5,Typ,1,TA,Attchd,55,Fin,2,498,TA,TA,Y,0,WD,Normal,55,1954,1990,1.5,1302,2594,996,30,TA_TA,1297,0,1,1,1,0,0,0,0,0.0025575447570332483
39,20,RL,Reg,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5,7,57,3,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,Unf,1057,GasA,TA,Y,SBrkr,1057,1057,1,1,0,3,1,Gd,5,Typ,0,Gd,Detchd,57,Unf,1,246,TA,TA,Y,0,WD,Abnorml,57,1953,2007,2.0,1062,2114,246,35,TA_TA,1057,0,1,1,0,0,1,0,0,0.00255885363357216
40,90,RL,Reg,Lvl,Inside,Edwards,Norm,Norm,Duplex,1Story,4,5,53,53,Gable,CompShg,AsbShng,Plywood,None,0.0,TA,TA,PConc,TA,TA,No,Unf,Unf,0,GasA,TA,N,FuseP,1152,1152,0,2,0,2,2,Fa,6,Typ,0,Gd,Attchd,53,Unf,0,0,TA,TA,N,0,WD,AdjLand,53,1955,1955,2.0,6,1152,0,20,TA_TA,1152,0,0,0,0,0,0,0,0,0.002044989775051125
41,20,RL,Reg,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,6,5,41,41,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,1088,GasA,Ex,Y,SBrkr,1324,1324,0,2,0,3,1,TA,6,Typ,1,TA,Attchd,41,RFn,2,440,TA,TA,Y,0,WD,Abnorml,41,1965,1965,2.0,1094,2412,880,30,TA_TA,1324,0,1,1,1,0,1,0,0,0.003051881993896236
42,20,RL,Reg,Lvl,Inside,Timber,Norm,Norm,1Fam,1Story,5,6,48,48,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,Unf,1350,GasA,Gd,Y,SBrkr,1328,1328,0,1,1,2,1,TA,5,Typ,2,Gd,Attchd,48,RFn,1,308,TA,TA,P,0,WD,Normal,48,1959,1959,2.0,1355,2678,308,30,TA_TA,1328,0,1,1,1,0,1,0,0,0.002551020408163265
43,85,RL,IR1,Lvl,CulDSac,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,24,24,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,Gd,TA,Av,ALQ,LwQ,840,GasA,Gd,Y,SBrkr,884,884,1,1,0,2,1,Gd,5,Typ,0,Gd,Attchd,24,RFn,2,504,TA,Gd,Y,0,WD,Normal,24,1983,1983,2.0,845,1724,1008,35,Gd_TA,884,0,1,1,0,1,0,0,0,0.0025201612903225806
44,20,RL,IR1,Lvl,CulDSac,CollgCr,Norm,Norm,1Fam,1Story,5,6,33,28,Hip,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,Av,LwQ,BLQ,938,GasA,TA,Y,SBrkr,938,938,1,1,0,3,1,TA,5,Typ,0,Gd,Detchd,31,Unf,1,308,TA,TA,Y,0,WD,Normal,31,1975,1980,2.0,943,1876,308,30,Gd_TA,938,0,1,1,0,1,0,0,0,0.0025303643724696357
45,20,RL,Reg,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5,6,47,47,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,BLQ,1150,GasA,Ex,Y,FuseA,1150,1150,1,1,0,3,1,TA,6,Typ,0,Gd,Attchd,47,RFn,1,300,TA,TA,Y,0,WD,Normal,47,1959,1959,2.0,1156,2300,300,30,TA_TA,1150,0,1,1,0,0,0,0,0,0.002551020408163265
46,120,RL,Reg,Lvl,Inside,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,5,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,1752,GasA,Ex,Y,SBrkr,1752,1752,1,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,5,RFn,2,576,TA,TA,Y,0,WD,Normal,5,2005,2005,3.0,1758,3504,1152,45,Ex_TA,1752,0,1,1,1,1,1,0,0,0.00448654037886341
47,50,RL,IR1,Lvl,CulDSac,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,6,6,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,1434,GasA,Ex,Y,SBrkr,1518,2149,1,1,1,1,1,Gd,6,Typ,1,Ex,Attchd,6,RFn,2,670,TA,TA,Y,0,WD,Abnorml,6,2003,2003,2.5,1440,3583,1340,35,Ex_TA,2149,0,1,1,1,1,1,0,1,0.003493013972055888
48,20,FV,Reg,Lvl,Inside,Somerst,Norm,Norm,1Fam,1Story,8,5,1,1,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,1656,GasA,Ex,Y,SBrkr,1656,1656,0,2,0,3,1,Gd,7,Typ,0,Gd,Attchd,1,RFn,3,826,TA,TA,Y,0,WD,Normal,1,2006,2006,2.0,1663,3312,2478,40,Gd_TA,1656,0,1,1,0,0,1,0,0,0.003986048829098156
49,190,RM,Reg,Lvl,Inside,OldTown,Norm,Norm,2fmCon,2Story,4,5,89,1,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,736,GasA,Gd,Y,SBrkr,736,1452,0,2,0,2,3,TA,8,Typ,0,Gd,Attchd,89,Unf,0,0,TA,TA,N,0,New,Partial,89,1920,2008,2.0,744,2188,0,20,TA_TA,1452,0,0,1,0,0,0,1,0,0.002082248828735034
50,20,RL,Reg,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,5,7,41,41,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,955,GasA,Ex,Y,SBrkr,955,955,1,1,0,3,1,TA,6,Typ,0,Gd,Attchd,41,Unf,1,386,TA,TA,Y,0,WD,Normal,41,1966,1966,2.0,961,1910,386,35,TA_TA,955,0,1,1,0,0,0,0,0,0.002541942043721403
51,60,RL,IR2,Lvl,Corner,Gilbert,Norm,Norm,1Fam,2Story,6,6,10,10,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Av,GLQ,Unf,794,GasA,Gd,Y,SBrkr,794,1470,0,2,0,3,1,TA,6,Typ,0,Gd,Attchd,10,Fin,2,388,TA,TA,Y,0,WD,Normal,10,1997,1997,2.5,800,2264,776,36,Gd_TA,1470,0,1,1,0,0,1,0,0,0.003003003003003003
